time,sea_level,flag1,flag2
UTC,m,,
2022-01-10T00:00:00Z,-1.22,0,1
2022-01-10T00:10:00Z,-1.21,0,1
2022-01-10T00:20:00Z,-1.18,0,1
2022-01-10T00:30:00Z,-1.14,0,1
2022-01-10T00:40:00Z,-1.09,0,1
2022-01-10T00:50:00Z,-1.04,0,1
2022-01-10T01:00:00Z,-0.99,0,1
2022-01-10T01:10:00Z,-0.93,0,1
2022-01-10T01:20:00Z,-0.87,0,1
2022-01-10T01:30:00Z,-0.8,0,1
2022-01-10T01:40:00Z,-0.74,0,1
2022-01-10T01:50:00Z,-0.69,0,1
2022-01-10T02:00:00Z,-0.62,0,1
2022-01-10T02:10:00Z,-0.55,0,1
2022-01-10T02:20:00Z,-0.48,0,1
2022-01-10T02:30:00Z,-0.41,0,1
2022-01-10T02:40:00Z,-0.36,0,1
2022-01-10T02:50:00Z,-0.27,0,1
2022-01-10T03:00:00Z,-0.19,0,1
2022-01-10T03:10:00Z,-0.11,0,1
2022-01-10T03:20:00Z,-0.03,0,1
2022-01-10T03:30:00Z,0.06,0,1
2022-01-10T03:40:00Z,0.15,0,1
2022-01-10T03:50:00Z,0.25,0,1
2022-01-10T04:00:00Z,0.35,0,1
2022-01-10T04:10:00Z,0.46,0,1
2022-01-10T04:20:00Z,0.58,0,1
2022-01-10T04:30:00Z,0.72,0,1
2022-01-10T04:40:00Z,0.87,0,1
2022-01-10T04:50:00Z,1.02,0,1
2022-01-10T05:00:00Z,1.16,0,1
2022-01-10T05:10:00Z,1.31,0,1
2022-01-10T05:20:00Z,1.45,0,1
2022-01-10T05:30:00Z,1.55,0,1
2022-01-10T05:40:00Z,1.62,0,1
2022-01-10T05:50:00Z,1.66,0,1
2022-01-10T06:00:00Z,1.69,0,1
2022-01-10T06:10:00Z,1.69,0,1
2022-01-10T06:20:00Z,1.67,0,1
2022-01-10T06:30:00Z,1.63,0,1
2022-01-10T06:40:00Z,1.59,0,1
2022-01-10T06:50:00Z,1.53,0,1
2022-01-10T07:00:00Z,1.48,0,1
2022-01-10T07:10:00Z,1.4,0,1
2022-01-10T07:20:00Z,1.33,0,1
2022-01-10T07:30:00Z,1.26,0,1
2022-01-10T07:40:00Z,1.17,0,1
2022-01-10T07:50:00Z,1.08,0,1
2022-01-10T08:00:00Z,0.98,0,1
2022-01-10T08:10:00Z,0.89,0,1
2022-01-10T08:20:00Z,0.77,0,1
2022-01-10T08:30:00Z,0.67,0,1
2022-01-10T08:40:00Z,0.56,0,1
2022-01-10T08:50:00Z,0.45,0,1
2022-01-10T09:00:00Z,0.3,0,1
2022-01-10T09:10:00Z,0.18,0,1
2022-01-10T09:20:00Z,0.04,0,1
2022-01-10T09:30:00Z,-0.1,0,1
2022-01-10T09:40:00Z,-0.25,0,1
2022-01-10T09:50:00Z,-0.4,0,1
2022-01-10T10:00:00Z,-0.54,0,1
2022-01-10T10:10:00Z,-0.65,0,1
2022-01-10T10:20:00Z,-0.78,0,1
2022-01-10T10:30:00Z,-0.91,0,1
2022-01-10T10:40:00Z,-1.01,0,1
2022-01-10T10:50:00Z,-1.12,0,1
2022-01-10T11:00:00Z,-1.23,0,1
2022-01-10T11:10:00Z,-1.34,0,1
2022-01-10T11:20:00Z,-1.42,0,1
2022-01-10T11:30:00Z,-1.51,0,1
2022-01-10T11:40:00Z,-1.59,0,1
2022-01-10T11:50:00Z,-1.66,0,1
2022-01-10T12:00:00Z,-1.73,0,1
2022-01-10T12:10:00Z,-1.79,0,1
2022-01-10T12:20:00Z,-1.83,0,1
2022-01-10T12:30:00Z,-1.87,0,1
2022-01-10T12:40:00Z,-1.89,0,1
2022-01-10T12:50:00Z,-1.9,0,1
2022-01-10T13:00:00Z,-1.9,0,1
2022-01-10T13:10:00Z,-1.91,0,1
2022-01-10T13:20:00Z,-1.91,0,1
2022-01-10T13:30:00Z,-1.88,0,1
2022-01-10T13:40:00Z,-1.83,0,1
2022-01-10T13:50:00Z,-1.8,0,1
2022-01-10T14:00:00Z,-1.75,0,1
2022-01-10T14:10:00Z,-1.69,0,1
2022-01-10T14:20:00Z,-1.63,0,1
2022-01-10T14:30:00Z,-1.57,0,1
2022-01-10T14:40:00Z,-1.52,0,1
2022-01-10T14:50:00Z,-1.44,0,1
2022-01-10T15:00:00Z,-1.37,0,1
2022-01-10T15:10:00Z,-1.28,0,1
2022-01-10T15:20:00Z,-1.2,0,1
2022-01-10T15:30:00Z,-1.11,0,1
2022-01-10T15:40:00Z,-1.01,0,1
2022-01-10T15:50:00Z,-0.89,0,1
2022-01-10T16:00:00Z,-0.76,0,1
2022-01-10T16:10:00Z,-0.63,0,1
2022-01-10T16:20:00Z,-0.49,0,1
2022-01-10T16:30:00Z,-0.32,0,1
2022-01-10T16:40:00Z,-0.13,0,1
2022-01-10T16:50:00Z,0.06,0,1
2022-01-10T17:00:00Z,0.27,0,1
2022-01-10T17:10:00Z,0.47,0,1
2022-01-10T17:20:00Z,0.65,0,1
2022-01-10T17:30:00Z,0.82,0,1
2022-01-10T17:40:00Z,0.97,0,1
2022-01-10T17:50:00Z,1.07,0,1
2022-01-10T18:00:00Z,1.15,0,1
2022-01-10T18:10:00Z,1.2,0,1
2022-01-10T18:20:00Z,1.26,0,1
2022-01-10T18:30:00Z,1.29,0,1
2022-01-10T18:40:00Z,1.3,0,1
